content_id,primary_topic,views_or_impressions,avg_percent_viewed,followers_gained,site_visits,high_intent_visits,interpretation
M01-01,provider independence,18600,71,218,182,91,strong product differentiation
M01-02,local mode,9400,64,104,68,31,useful but familiar claim
M01-03,lock-in test,12100,69,139,104,47,strong hook and shares
M01-04,visible diffs,8200,73,86,96,44,high-intent technical audience
M01-05,specialist routing,7600,62,72,55,22,needs concrete demo
M01-06,terminal evidence,10400,75,118,109,51,strong editorial fit
M01-L1,terminal agents,4200,48,94,173,88,low reach high conversion
M01-07,agent OS,9700,66,107,92,43,promising category language
M01-08,capability tokens,23200,82,301,188,97,month winner
M01-09,audit trails,6800,61,58,47,29,too abstract
M01-10,provenance,7400,58,63,51,33,saves strong completion weak
M01-11,orchestration,8900,65,84,74,38,needs workflow visualization
M01-12,human approval,14800,77,166,121,62,strong practical stakes
M01-L2,trustworthy agent stack,5100,52,105,191,102,best conversion rate
